,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
330,3.88,14.04,81.75,81.55,0.023288590604026847,0.2093288590604027
331,3.88,14.04,81.75,81.55,0.023288590604026847,0.2159731543624161
332,3.88,14.04,81.75,81.55,0.023288590604026847,0.22261744966442953
333,3.88,14.04,81.75,81.55,0.023288590604026847,0.22926174496644297
334,3.88,14.03,81.76,81.56,0.023288590604026847,0.23590604026845638
335,3.89,14.03,81.76,81.56,0.023288590604026847,0.2425503355704698
336,3.89,14.03,81.76,81.56,0.023288590604026847,0.24919463087248322
337,3.89,14.03,81.76,81.56,0.023288590604026847,0.25583892617449666
338,3.89,14.02,81.77,81.57,0.023288590604026847,0.26248322147651004
339,3.89,14.02,81.77,81.57,0.023288590604026847,0.2691275167785235
340,3.89,14.02,81.77,81.57,0.023288590604026847,0.2757718120805369
341,3.89,14.02,81.77,81.57,0.023288590604026847,0.28241610738255035
342,3.89,14.02,81.77,81.57,0.023288590604026847,0.2890604026845638
343,3.9,14.02,81.77,81.57,0.023288590604026847,0.29570469798657717
344,3.91,14.02,81.77,81.57,0.023288590604026847,0.3023489932885906
345,3.91,14.02,81.77,81.57,0.023288590604026847,0.30899328859060404
346,3.91,14.01,81.78,81.58,0.023288590604026847,0.3156375838926174
347,3.91,14.01,81.78,81.58,0.023288590604026847,0.32228187919463086
348,3.91,14.01,81.78,81.58,0.023288590604026847,0.3289261744966443
349,3.91,14.01,81.78,81.58,0.023288590604026847,0.33557046979865773
350,3.91,14.01,81.78,81.58,0.023288590604026847,0.34221476510067117
351,3.91,14.01,81.78,81.58,0.023288590604026847,0.34885906040268455
352,3.91,14.01,81.78,81.58,0.023288590604026847,0.355503355704698
353,3.91,14.01,81.78,81.58,0.023288590604026847,0.3621476510067114
354,3.95,14.01,81.78,81.58,0.023288590604026847,0.3687919463087248
355,3.95,14.01,81.78,81.58,0.023288590604026847,0.37543624161073824
356,3.95,14.01,81.78,81.58,0.023288590604026847,0.3820805369127517
357,3.95,14.01,81.78,81.58,0.023288590604026847,0.3887248322147651
358,3.95,14.01,81.78,81.58,0.023288590604026847,0.39536912751677855
359,3.95,14.01,81.78,81.58,0.023288590604026847,0.40201342281879193
360,3.95,14.01,81.78,81.58,0.023288590604026847,0.40865771812080537
361,3.95,14.01,81.78,81.58,0.023288590604026847,0.4153020134228188
362,3.95,14.01,81.78,81.58,0.023288590604026847,0.4219463087248322
363,3.95,14.01,81.78,81.58,0.023288590604026847,0.4285906040268456
364,3.95,14.01,81.78,81.58,0.023288590604026847,0.43523489932885906
365,3.95,14.01,81.78,81.58,0.023288590604026847,0.4418791946308725
366,3.95,14.01,81.78,81.58,0.023288590604026847,0.44852348993288593
367,3.95,14.01,81.78,81.58,0.023288590604026847,0.4551677852348993
368,3.95,14.01,81.79,81.58,0.023288590604026847,0.46181208053691275
369,3.95,14.01,81.79,81.58,0.023288590604026847,0.4684563758389262
370,3.95,14.01,81.79,81.58,0.023288590604026847,0.47510067114093957
371,3.95,14.01,81.79,81.58,0.023288590604026847,0.481744966442953
372,3.95,14.01,81.79,81.58,0.023288590604026847,0.48838926174496644
373,3.95,14.01,81.79,81.58,0.023288590604026847,0.4950335570469799
374,3.95,14.01,81.79,81.58,0.023288590604026847,0.5016778523489933
375,3.95,14.01,81.79,81.58,0.023288590604026847,0.5083221476510067
376,3.95,14.01,81.79,81.58,0.023288590604026847,0.5149664429530201
